date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,score_bucket
20251209,801010.SI,农林牧渔,4.96,1.69,-4.37,BULL,0,0,1,"(4.9, 5.2]"
20251209,801030.SI,基础化工,4.87,-2.19,-5.08,BULL,0,0,1,"(4.6, 4.9]"
20251209,801040.SI,钢铁,4.68,-1.02,-7.16,BULL,0,0,1,"(4.6, 4.9]"
20251209,801050.SI,有色金属,6.27,-1.45,1.05,BULL,0,1,0,"(6.1, 6.4]"
20251209,801080.SI,电子,6.53,-4.61,1.63,BULL,0,1,0,"(6.4, 6.7]"
20251209,801110.SI,家用电器,6.12,-1.05,0.42,BULL,0,1,0,"(6.1, 6.4]"
20251209,801120.SI,食品饮料,4.7,0.76,-5.35,BULL,0,0,1,"(4.6, 4.9]"
20251209,801130.SI,纺织服饰,5.34,-3.43,-1.72,BULL,0,1,0,"(5.2, 5.5]"
20251209,801140.SI,轻工制造,6.39,-2.55,1.32,BULL,0,1,0,"(6.4, 6.7]"
20251209,801150.SI,医药生物,5.16,-3.25,-3.8,BULL,0,1,0,"(4.9, 5.2]"
20251209,801160.SI,公用事业,4.96,-0.57,-5.08,BULL,0,0,1,"(4.9, 5.2]"
20251209,801170.SI,交通运输,5.24,-0.6,-4.83,BULL,0,1,0,"(5.2, 5.5]"
20251209,801180.SI,房地产,4.43,-2.93,-7.96,BULL,0,0,1,"(4.4, 4.6]"
20251209,801200.SI,商贸零售,5.43,0.98,-3.39,BULL,0,1,0,"(5.2, 5.5]"
20251209,801210.SI,社会服务,5.47,-0.61,-1.94,BULL,0,1,0,"(5.2, 5.5]"
20251209,801230.SI,综合,6.62,-8.82,6.1,BULL,0,1,0,"(6.4, 6.7]"
20251209,801710.SI,建筑材料,5.72,-1.17,-3.0,BULL,0,1,0,"(5.5, 5.8]"
20251209,801720.SI,建筑装饰,5.29,-1.9,-5.08,BULL,0,1,0,"(5.2, 5.5]"
20251209,801730.SI,电力设备,5.09,-3.5,-6.05,BULL,0,1,0,"(4.9, 5.2]"
20251209,801740.SI,国防军工,6.77,0.99,4.44,BULL,0,1,0,"(6.7, 6.9]"
20251209,801750.SI,计算机,5.39,-4.07,-2.8,BULL,0,1,0,"(5.2, 5.5]"
20251209,801760.SI,传媒,5.34,-4.44,-1.66,BULL,0,1,0,"(5.2, 5.5]"
20251209,801770.SI,通信,7.78,-5.55,15.2,BULL,1,0,0,"(7.5, 7.8]"
20251209,801780.SI,银行,4.93,-2.35,-1.99,BULL,0,0,1,"(4.9, 5.2]"
20251209,801790.SI,非银金融,5.97,1.26,-1.15,BULL,0,1,0,"(5.8, 6.1]"
20251209,801880.SI,汽车,6.01,-1.28,-1.91,BULL,0,1,0,"(5.8, 6.1]"
20251209,801890.SI,机械设备,6.58,-2.95,1.03,BULL,0,1,0,"(6.4, 6.7]"
20251209,801950.SI,煤炭,4.27,-1.75,-8.24,BULL,0,0,1,"(4.1, 4.4]"
20251209,801960.SI,石油石化,5.01,-2.09,-3.22,BULL,0,1,0,"(4.9, 5.2]"
20251209,801970.SI,环保,5.13,-2.18,-5.23,BULL,0,1,0,"(4.9, 5.2]"
20251209,801980.SI,美容护理,4.6,-0.68,-6.84,BULL,0,0,1,"(4.4, 4.6]"
20251210,801010.SI,农林牧渔,5.4,0.23,-3.19,BULL,0,1,0,"(5.2, 5.5]"
20251210,801030.SI,基础化工,4.83,-0.22,-4.36,BULL,0,0,1,"(4.6, 4.9]"
20251210,801040.SI,钢铁,4.57,-0.28,-6.0,BULL,0,0,1,"(4.4, 4.6]"
20251210,801050.SI,有色金属,6.17,0.49,2.13,BULL,0,1,0,"(6.1, 6.4]"
20251210,801080.SI,电子,6.65,-1.85,1.67,BULL,0,1,0,"(6.4, 6.7]"
20251210,801110.SI,家用电器,6.18,-0.53,-0.51,BULL,0,1,0,"(6.1, 6.4]"
20251210,801120.SI,食品饮料,4.75,1.11,-5.44,BULL,0,0,1,"(4.6, 4.9]"
20251210,801130.SI,纺织服饰,5.4,-3.21,-2.3,BULL,0,1,0,"(5.2, 5.5]"
20251210,801140.SI,轻工制造,6.46,-2.85,1.78,BULL,0,1,0,"(6.4, 6.7]"
20251210,801150.SI,医药生物,5.22,-2.28,-4.17,BULL,0,1,0,"(5.2, 5.5]"
20251210,801160.SI,公用事业,5.19,-0.5,-4.61,BULL,0,1,0,"(4.9, 5.2]"
20251210,801170.SI,交通运输,5.45,-0.33,-4.04,BULL,0,1,0,"(5.2, 5.5]"
20251210,801180.SI,房地产,5.03,-5.25,-5.06,BULL,0,1,0,"(4.9, 5.2]"
20251210,801200.SI,商贸零售,5.84,-0.79,-0.86,BULL,0,1,0,"(5.8, 6.1]"
20251210,801210.SI,社会服务,5.87,-0.8,-0.54,BULL,0,1,0,"(5.8, 6.1]"
20251210,801230.SI,综合,6.45,-7.86,5.39,BULL,0,1,0,"(6.4, 6.7]"
20251210,801710.SI,建筑材料,5.85,-1.23,-1.59,BULL,0,1,0,"(5.8, 6.1]"
20251210,801720.SI,建筑装饰,5.29,-1.94,-4.3,BULL,0,1,0,"(5.2, 5.5]"
20251210,801730.SI,电力设备,4.99,-0.63,-4.87,BULL,0,0,1,"(4.9, 5.2]"
20251210,801740.SI,国防军工,7.07,0.1,6.09,BULL,1,0,0,"(6.9, 7.2]"
20251210,801750.SI,计算机,5.19,-2.01,-2.39,BULL,0,1,0,"(4.9, 5.2]"
20251210,801760.SI,传媒,5.4,-3.56,-0.52,BULL,0,1,0,"(5.2, 5.5]"
20251210,801770.SI,通信,8.07,-1.95,15.97,BULL,1,0,0,"(7.8, 8.1]"
20251210,801780.SI,银行,5.07,-0.66,-4.02,BULL,0,1,0,"(4.9, 5.2]"
20251210,801790.SI,非银金融,6.16,2.9,-0.86,BULL,0,1,0,"(6.1, 6.4]"
20251210,801880.SI,汽车,6.36,-1.41,-0.22,BULL,0,1,0,"(6.1, 6.4]"
20251210,801890.SI,机械设备,6.85,-2.21,3.08,BULL,0,1,0,"(6.7, 6.9]"
20251210,801950.SI,煤炭,4.14,-1.96,-7.44,BULL,0,0,1,"(4.1, 4.4]"
20251210,801960.SI,石油石化,5.0,-1.07,-4.28,BULL,0,1,0,"(4.9, 5.2]"
20251210,801970.SI,环保,5.36,-2.19,-4.42,BULL,0,1,0,"(5.2, 5.5]"
20251210,801980.SI,美容护理,4.55,0.02,-6.85,BULL,0,0,1,"(4.4, 4.6]"
20251211,801010.SI,农林牧渔,5.06,0.9,-4.67,BULL,0,1,0,"(4.9, 5.2]"
20251211,801030.SI,基础化工,4.82,1.06,-7.92,BULL,0,0,1,"(4.6, 4.9]"
20251211,801040.SI,钢铁,4.44,1.1,-8.96,BULL,0,0,1,"(4.4, 4.6]"
20251211,801050.SI,有色金属,6.31,1.05,-2.41,BULL,0,1,0,"(6.1, 6.4]"
20251211,801080.SI,电子,6.45,-1.58,-1.1,BULL,0,1,0,"(6.4, 6.7]"
20251211,801110.SI,家用电器,5.83,0.08,-1.94,BULL,0,1,0,"(5.8, 6.1]"
20251211,801120.SI,食品饮料,4.79,1.2,-6.32,BULL,0,0,1,"(4.6, 4.9]"
20251211,801130.SI,纺织服饰,4.98,-0.02,-5.92,BULL,0,0,1,"(4.9, 5.2]"
20251211,801140.SI,轻工制造,6.15,-0.49,-0.76,BULL,0,1,0,"(6.1, 6.4]"
20251211,801150.SI,医药生物,5.07,-1.23,-6.09,BULL,0,1,0,"(4.9, 5.2]"
20251211,801160.SI,公用事业,5.18,0.1,-4.82,BULL,0,1,0,"(4.9, 5.2]"
20251211,801170.SI,交通运输,5.2,1.63,-6.0,BULL,0,1,0,"(4.9, 5.2]"
20251211,801180.SI,房地产,4.68,-2.78,-8.89,BULL,0,0,1,"(4.6, 4.9]"
20251211,801200.SI,商贸零售,5.18,1.58,-4.59,BULL,0,1,0,"(4.9, 5.2]"
20251211,801210.SI,社会服务,5.42,0.72,-3.19,BULL,0,1,0,"(5.2, 5.5]"
20251211,801230.SI,综合,5.51,-4.81,-2.38,BULL,0,1,0,"(5.5, 5.8]"
20251211,801710.SI,建筑材料,5.73,-0.72,-3.96,BULL,0,1,0,"(5.5, 5.8]"
20251211,801720.SI,建筑装饰,5.11,-0.74,-5.82,BULL,0,1,0,"(4.9, 5.2]"
20251211,801730.SI,电力设备,5.26,-2.59,-9.03,BULL,0,1,0,"(5.2, 5.5]"
20251211,801740.SI,国防军工,6.95,1.24,5.18,BULL,0,1,0,"(6.9, 7.2]"
20251211,801750.SI,计算机,4.64,-0.52,-5.31,BULL,0,0,1,"(4.6, 4.9]"
20251211,801760.SI,传媒,5.08,-0.83,-3.61,BULL,0,1,0,"(4.9, 5.2]"
20251211,801770.SI,通信,7.71,-0.37,12.56,BULL,1,0,0,"(7.5, 7.8]"
20251211,801780.SI,银行,4.77,1.12,-3.81,BULL,0,0,1,"(4.6, 4.9]"
20251211,801790.SI,非银金融,5.86,3.47,-2.96,BULL,0,1,0,"(5.8, 6.1]"
20251211,801880.SI,汽车,6.15,-1.13,-1.9,BULL,0,1,0,"(6.1, 6.4]"
20251211,801890.SI,机械设备,6.54,-1.53,0.88,BULL,0,1,0,"(6.4, 6.7]"
20251211,801950.SI,煤炭,4.28,0.64,-9.09,BULL,0,0,1,"(4.1, 4.4]"
20251211,801960.SI,石油石化,4.87,1.03,-4.98,BULL,0,0,1,"(4.6, 4.9]"
20251211,801970.SI,环保,5.22,-1.42,-5.69,BULL,0,1,0,"(5.2, 5.5]"
20251211,801980.SI,美容护理,4.56,0.77,-8.24,BULL,0,0,1,"(4.4, 4.6]"
20251212,801010.SI,农林牧渔,5.44,0.87,-3.47,BULL,0,1,0,"(5.2, 5.5]"
20251212,801030.SI,基础化工,4.99,2.58,-6.68,BULL,0,0,1,"(4.9, 5.2]"
20251212,801040.SI,钢铁,5.04,2.09,-8.02,BULL,0,1,0,"(4.9, 5.2]"
20251212,801050.SI,有色金属,6.62,1.46,1.07,BULL,0,1,0,"(6.4, 6.7]"
20251212,801080.SI,电子,6.76,-3.28,3.55,BULL,0,1,0,"(6.7, 6.9]"
20251212,801110.SI,家用电器,6.06,0.16,-0.73,BULL,0,1,0,"(5.8, 6.1]"
